year,school_name,major_code,major_name,college,planned_enrollment,retest_count,admitted_count,retest_ratio,retest_max_score,retest_min_score,retest_avg_score,retest_politics_avg,retest_english_subject,retest_english_avg,retest_math_subject,retest_math_avg,retest_prof_subject,retest_prof_avg,admitted_max_score,admitted_min_score,admitted_avg_score,admitted_politics_avg,admitted_english_subject,admitted_english_avg,admitted_math_subject,admitted_math_avg,admitted_prof_subject,admitted_prof_avg
2026,上海交通大学,085400,电子信息01控制工程,490 溥渊未来技术学院(联影联培基地）,12,,1,,,,,,201英语一,,301数学一,,816 自动控制理论,,,,,,201英语一,,301数学一,,816 自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息02控制工程,490 溥渊未来技术学院(宁德时代联培基地),12,,7,,,,,,201英语一,,301数学一,,816 自动控制理论,,,,,,201英语一,,301数学一,,816 自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,上海交通大学,085400,电子信息03控制工程,490 溥渊未来技术学院,12,,2,,,,,,201英语一,,301数学一,,816 自动控制理论,,,,,,201英语一,,301数学一,,816 自动控制理论,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,北京航空航天大学,081100,控制科学与工程,003 自动化科学与电气工程学院,39,53,39,1.36,434.0,365.0,387.0,61.0,201英语一,72.0,301数学一,125.0,833控制工程综合,128.0,434.0,365.0,391.0,,201英语一,,301数学一,,833控制工程综合,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,北京航空航天大学,085406,控制工程,003 自动化科学与电气工程学院,81,97,81,1.2,445.0,365.0,390.0,61.0,201英语一,71.0,301数学一,126.0,833控制工程综合,131.0,445.0,366.0,394.0,,201英语一,,301数学一,,833控制工程综合,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,北京航空航天大学,085406,控制工程,015 宇航学院,15,26,17,1.52,434.0,327.0,369.0,58.0,201英语一,66.0,301数学一,119.0,833控制工程综合,125.0,434.0,346.0,377.0,,201英语一,,301数学一,,833控制工程综合,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,北京航空航天大学,081100,控制科学与工程,015 宇航学院,4,8,7,1.14,429.0,331.0,382.0,61.0,201英语一,68.0,301数学一,123.0,833控制工程综合,,,,,,201英语一,,301数学一,,833控制工程综合,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,北京航空航天大学,085406,控制工程,057 杭州国际创新研究院,10,45,41,1.1,427.0,310.0,355.0,59.0,201英语一,65.0,301数学一,112.0,833控制工程综合,118.0,427.0,325.0,357.0,,201英语一,,301数学一,,833控制工程综合,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,北京航空航天大学,085406,控制工程,031 无人系统研究院,6,13,81,1.18,415.0,321.0,363.0,,201英语一,,301数学一,,833控制工程综合,,,,,,201英语一,,301数学一,,833控制工程综合,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
2026,北京航空航天大学,089902,无人系统科学与技术,031 无人系统研究院,9,13,11,1.18,,,,,201英语一,,301数学一,,833控制工程综合,,,,,,201英语一,,301数学一,,833控制工程综合,,20260818_002109_27考研择校宝典_录取数据表_0815.xlsx
