school_name,book_text
江苏科技大学,《自动控制原理（第八版）》，胡寿松等编，科学出版社，2023年
江苏科技大学,复试科目
江苏科技大学,复试科目：999计算机控制技术
江苏科技大学,复试参考书
江苏科技大学,《《计算机控制技术》，陈红卫编，机械工业出版社，第1版，2017
南京信息工程大学,817自动控制原理：
南京信息工程大学,胡寿松.自动控制原理（第6版）科学出版社
南京信息工程大学,陈复杨. 自动控制原理. 高等教育出版社
南京信息工程大学,吴麒，王诗宓. 自动控制原理 （第2版）. 清华大学出版社
南京信息工程大学,复试笔试科目
南京信息工程大学,F11电路
南京信息工程大学,复试参考书
南京信息工程大学,罗先觉. 电路 (第五版)， 高等教育出版社
南京信息工程大学,刘崇新、罗先觉. 电路学习指导与习题分析 (第五版)，高等教育出版社
南京信息工程大学,胡翔骏. 电路分析，高等教育出版社
南京信息工程大学,录取总成绩=初试成绩/5*0.6+复试成绩（换算为百分制）*0.4 。
南京信息工程大学,四、近年复试线变化趋势图
南京信息工程大学,081100控制科学与工程 （学术学位）
南京信息工程大学,085406控制工程（专业学位）
渤海大学,832自动控制原理参考书目
渤海大学,胡寿松 主编，《自动控制原理》，科学出版社，2019.2
渤海大学,复试笔试科目
渤海大学,单片机原理及应用
渤海大学,复试参考书
渤海大学,单片机原理与应用及C51程序设计（第4版），谢维成、杨加国主编，清华大学出版社，2019.10
渤海大学,总成绩
渤海大学,=初试成绩×0.14+复试成绩×0.3
渤海大学,四、近年复试线变化趋势图
渤海大学,（081100）控制科学与工程 【学硕】
安徽工程大学,《自动控制原理(第7版)》 ， 胡寿松， 科学出版社， 2019
长沙理工大学,1、《自动控制原理基础教程》，胡寿松主编，科学出版社，第四版
长沙理工大学,2、《现代控制理论》，刘豹、唐万生主编，机械工业出版社，第3版
南京邮电大学,812自动控制原理：
南京邮电大学,胡寿松.自动控制原理（第7版）科学出版社
扬州大学,《自动控制原理》（第四版），胡寿松编，科学出版社，2001年。
湖南科技大学,"《自动控制原理》(第7版)，胡寿松主编，科学出版社, 2019.02"
湖南科技大学,"《自动控制原理习题解析》(第3版)，胡寿松主编，科学出版社, 2021.02"
湖南科技大学,《自动控制原理》（第2版），张爱民主编，清华大学出版社
南京工业大学,《自动控制原理基础教程》 胡寿松主编（第四版），科学出版社，2017年或《自动控制原理》 胡寿松主编（第六版），科学出版社，2013年
华北理工大学,《自动控制原理》（第四版） 冶金工业出版社 王建辉、顾树生
江汉大学,807自动控制原理
江汉大学,"《自动控制原理》(第三版),吴怀宇,武汉:华中科技大学出版社,2017年。"
济南大学,841自动控制原理 参考书目
济南大学,"1 、胡寿松主编，自动控制原理(第七版)，科学出版社，2019 ;2、李友善编著，自动控制原理（第三版）, 北京：国防工业出版社，2014; 3、张家桂，黄明键主编，自动控制原理：基本理论-例题详解-典型习题，北京：国防工业出版社，2007年。"
济南大学,复试科目
济南大学,微机原理（学硕），实践能力测试（专硕）
济南大学,复试参考书
济南大学,自动化与电气工程学院
济南大学,（081100）控制科学与工程
济南大学,《微控制器原理与应用》
济南大学,"参考书目：张淑清,胡永国,张立国等著，《嵌入式微控制器STM32原理及应用》，机械工业出版社。"
济南大学,（085406）控制工程
济南大学,实践能力测试：考试科目：电路实验。
济南大学,参考书目：王前虹，《电工电子一体化实验2》，中国石油大学出版社。
济南大学,(101) 卓越工程师学院
济南大学,（085406）控制工程
济南大学,（085406）控制工程：考试时长45分钟，满分100分，合格60分，不合格者不予录取。
济南大学,考试科目：电路实验。
济南大学,参考书目：王前虹，《电工电子一体化实验2》，中国石油大学出版社。
河南大学,《自动控制原理》高国燊、余文杰编(华南理工大学出版社第4版)
